эффективная_цена	остаток_уточненный	разница_к_прайсу_%	статус_цены	стоимости_абонементов	скидки_абонементов	комментарий_проверки_цены	abonement_ids
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	abd73b01-ab4a-31e1-d52f-69c6334d2196
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300.0	3700.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	f367c7f8-b5a2-0e1b-751a-6996c6b00e21
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135	7865	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	142a6c3f-3ac4-ce3d-d08a-69a7fb100469
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	91535272-e65c-4ef9-2dbc-69e11b38f2c6
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	79ae8bc6-2434-dcf9-3aef-69e11bfcbc52
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c5ea8210-589d-d81b-79f7-69e11b6fbe69
87000	3700	0.1053	частично/долг	87000	0	Оплата меньше персональной цены	68c4078c-5175-7179-a653-69e9d91a9e58
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400	8600	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	3a9dee77-095a-8aa5-e096-6979b01d1055
79380	0	0.1474	оплачено со скидкой/ранним бронированием	79380	7620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	6d100df4-a74e-a86c-3c2b-69d37ba56c11
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000.0	12000.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	f199a91e-804c-dd7f-37ef-69a7fa97ebce
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	79d507cb-7a2b-3f7b-444d-69be86c367b0
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	a28a5c0d-1570-a1d5-eb15-69776272805a
74380	0	0.2011	оплачено со скидкой/ранним бронированием	74380	12620	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	14b20464-7d35-3ee2-5c5f-69d37d12ca6a
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2c5a9973-e6ca-3936-e550-6967525d46be
83790	0	0.1	оплачено со скидкой/ранним бронированием	83790	3210	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	802de800-c14a-2f51-b1d8-69be801218bb
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	14a4c895-d409-f2c2-7b12-69d37e918f05
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c401098a-e212-e2c0-5baa-6a21767342f1
79135	0	0.15	оплачено со скидкой/ранним бронированием	79135.0	7865.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	f5a5066c-eab7-f11f-f0af-69d37b97eab3
83790	0	0.1	оплачено со скидкой/ранним бронированием	83790.0	3210.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	ed147799-7a0f-74b3-abc8-69ff288dc8a8
88445	0	0.05	оплачено со скидкой/ранним бронированием	88445	-1445	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7986cae2-1870-22d5-71b5-6a2181aa77dc
93100	93100	1	нет оплаты			Подтвержденной оплаты ЛВШ-2026 не найдено	
88200	0	0.0526	оплачено со скидкой/ранним бронированием	88200	-1200	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	348323f6-de36-2e77-221b-69c634b46619
78400	0	0.1579	оплачено со скидкой/ранним бронированием	78400.0	8600.0	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	e8109a6e-927d-f585-7fd7-69a81c3bb3a2
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	7ceb90b2-56f1-a562-beb4-698d9a661b3b
82700	0	0.1117	оплачено со скидкой/ранним бронированием	82700	4300	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2d1cb240-01a6-b8f0-e17d-69e11f8209b1
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	56283c93-436f-ce4d-f75f-69e120a1041f
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	c2212f2b-3d8e-2da1-9546-698d98d83912
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d4689355-9c1e-ec68-353c-69a7fdec5c0b
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	de8d022e-91df-b077-7d24-69a7fd9d936c
93100	0	0	оплачено со скидкой/ранним бронированием	93100	-6100	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	d2b2eed5-92f8-77ca-142f-69ff1ae8f386
75000	0	0.1944	оплачено со скидкой/ранним бронированием	75000	12000	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	2bc3851c-b81e-0ec6-a80e-696751144c85
83300	0	0.1053	оплачено со скидкой/ранним бронированием	83300	3700	Стоимость абонемента или оплаты принята как персональная цена; разница к прайсу не больше 25%	10220cab-ea5f-ae6a-5c90-6996c9306e38
